bank,year,topic,n_sentences,pos,neg,neu,net_positivity
Lloyds,2020,8,50,0.26209044456481934,0.053760118782520294,0.6841493844985962,0.20833032578229904
Lloyds,2020,9,14,0.13723479211330414,0.11730387061834335,0.7454613447189331,0.019930921494960785
Lloyds,2021,0,10,0.2752093970775604,0.06141937896609306,0.663371205329895,0.21379001811146736
Lloyds,2021,1,25,0.37268179655075073,0.012064668349921703,0.6152535080909729,0.36061712820082903
Lloyds,2021,2,140,0.40734899044036865,0.025181373581290245,0.5674694776535034,0.3821676168590784
Lloyds,2021,3,43,0.4067155122756958,0.017918290570378304,0.5753660202026367,0.3887972217053175
Lloyds,2021,4,47,0.3682299256324768,0.042878877371549606,0.5888910889625549,0.3253510482609272
Lloyds,2021,5,486,0.3589061498641968,0.04658237472176552,0.5945114493370056,0.31232377514243126
Lloyds,2021,6,13,0.25478193163871765,0.06760909408330917,0.6776090264320374,0.18717283755540848
Lloyds,2021,7,35,0.4352434575557709,0.05278833210468292,0.511968195438385,0.38245512545108795
Lloyds,2021,8,23,0.339678555727005,0.02885892055928707,0.6314625144004822,0.31081963516771793
Lloyds,2021,9,8,0.16380248963832855,0.013076167553663254,0.8231212496757507,0.1507263220846653
Lloyds,2022,0,33,0.3009187877178192,0.10506412386894226,0.5940170288085938,0.19585466384887695
Lloyds,2022,1,107,0.29136934876441956,0.06461237370967865,0.6440181732177734,0.2267569750547409
Lloyds,2022,2,393,0.3191378712654114,0.04749665409326553,0.6333654522895813,0.27164121717214584
Lloyds,2022,3,32,0.3451860845088959,0.0688326507806778,0.5859812498092651,0.2763534337282181
Lloyds,2022,4,84,0.26276424527168274,0.04453027620911598,0.6927053928375244,0.21823396906256676
Lloyds,2022,5,71,0.34951749444007874,0.0388711653649807,0.6116112470626831,0.31064632907509804
Lloyds,2022,6,10,0.16173605620861053,0.0162814911454916,0.8219823837280273,0.14545456506311893
Lloyds,2022,7,18,0.4412221312522888,0.09183719009160995,0.46694067120552063,0.34938494116067886
Lloyds,2022,8,45,0.28915372490882874,0.025060473009943962,0.685785710811615,0.2640932518988848
Lloyds,2022,9,30,0.22388792037963867,0.037687428295612335,0.73842453956604,0.18620049208402634
Lloyds,2023,0,18,0.1844031810760498,0.024373596534132957,0.7912232875823975,0.16002958454191685
Lloyds,2023,1,41,0.3676013946533203,0.0506746768951416,0.5817239880561829,0.3169267177581787
Lloyds,2023,2,521,0.4015685021877289,0.03181043267250061,0.5666211247444153,0.36975806951522827
Lloyds,2023,3,77,0.4520949423313141,0.0490243174135685,0.4988807439804077,0.4030706249177456
Lloyds,2023,4,43,0.2992936372756958,0.057525306940078735,0.6431810855865479,0.24176833033561707
Lloyds,2023,5,210,0.3463986814022064,0.0429488942027092,0.6106523871421814,0.3034497871994972
Lloyds,2023,6,17,0.4083578884601593,0.07587458193302155,0.5157675743103027,0.33248330652713776
Lloyds,2023,7,36,0.30711543560028076,0.03791150450706482,0.654973030090332,0.26920393109321594
Lloyds,2023,8,35,0.3205606937408447,0.031088702380657196,0.6483505368232727,0.28947199136018753
Lloyds,2023,9,25,0.33196407556533813,0.07951952517032623,0.588516354560852,0.2524445503950119
Lloyds,2024,0,16,0.3648667633533478,0.019026843830943108,0.616106390953064,0.34583991952240467
Lloyds,2024,1,33,0.4387120306491852,0.013292322866618633,0.5479957461357117,0.42541970778256655
Lloyds,2024,2,404,0.4247315526008606,0.039207376539707184,0.53606116771698,0.3855241760611534
Lloyds,2024,3,88,0.3730182945728302,0.035630423575639725,0.5913512706756592,0.3373878709971905
Lloyds,2024,4,121,0.43584761023521423,0.04217178747057915,0.5219804644584656,0.3936758227646351
Lloyds,2024,5,178,0.3724863827228546,0.03055047243833542,0.596963107585907,0.3419359102845192
Lloyds,2024,6,17,0.44389140605926514,0.013124722056090832,0.5429838299751282,0.4307666840031743
Lloyds,2024,7,64,0.4189002811908722,0.013867839239537716,0.567232072353363,0.4050324419513345
Lloyds,2024,8,54,0.41697707772254944,0.04391620680689812,0.5391067266464233,0.3730608709156513
Lloyds,2024,9,19,0.597059428691864,0.010664512403309345,0.3922760486602783,0.5863949162885547
Natwest,2017,0,20,0.0879942998290062,0.10051174461841583,0.811493992805481,-0.012517444789409637
Natwest,2017,1,17,0.0504433810710907,0.05973099172115326,0.889825701713562,-0.009287610650062561
Natwest,2017,2,9,0.28230252861976624,0.06992543488740921,0.647771954536438,0.21237709373235703
Natwest,2017,3,100,0.13870267570018768,0.18548528850078583,0.6758120059967041,-0.046782612800598145
Natwest,2017,4,33,0.1781667172908783,0.08723653852939606,0.7345967888832092,0.09093017876148224
Natwest,2017,5,17,0.1662829965353012,0.10965913534164429,0.7240579128265381,0.05662386119365692
Natwest,2017,6,3,0.1970580816268921,0.0182796623557806,0.7846621870994568,0.1787784192711115
Natwest,2017,7,8,0.19756124913692474,0.04689265787601471,0.7555460929870605,0.15066859126091003
Natwest,2017,8,11,0.18842296302318573,0.043355800211429596,0.7682212591171265,0.14506716281175613
Natwest,2017,9,24,0.1416502743959427,0.1268438994884491,0.731505811214447,0.014806374907493591
